entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-05-06 12:00:00+00:00,2026-05-06 12:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7233429551124573,,
2026-05-06 14:15:00+00:00,2026-05-06 14:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.802709698677063,,
2026-05-06 16:30:00+00:00,2026-05-06 16:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6053824424743652,,
2026-05-07 09:00:00+00:00,2026-05-07 09:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.594836950302124,,
2026-05-07 12:45:00+00:00,2026-05-07 13:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5866826772689819,,
2026-05-07 13:00:00+00:00,2026-05-07 13:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.7561607956886292,,
2026-05-07 14:15:00+00:00,2026-05-07 14:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6433597207069397,,
2026-05-07 15:00:00+00:00,2026-05-07 15:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.5916224122047424,,
2026-05-07 15:45:00+00:00,2026-05-07 16:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8142037987709045,,
2026-05-07 16:00:00+00:00,2026-05-07 16:15:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6232303380966187,,
2026-05-08 09:30:00+00:00,2026-05-08 09:45:00+00:00,30.0,tp,long_retrace,1,long_ret,0.749180793762207,,
2026-05-08 10:15:00+00:00,2026-05-08 10:30:00+00:00,-15.0,sl,ret,1,ret,0.6437528133392334,,
2026-05-08 11:15:00+00:00,2026-05-08 11:30:00+00:00,30.0,tp,ret,1,ret,0.7099883556365967,,
2026-05-08 11:30:00+00:00,2026-05-08 11:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7147877216339111,,
2026-05-08 14:15:00+00:00,2026-05-08 14:30:00+00:00,30.0,tp,long_retrace,1,long_ret,0.6532111167907715,,
2026-05-08 14:45:00+00:00,2026-05-08 15:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.6117452383041382,,
2026-05-08 15:30:00+00:00,2026-05-08 15:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7448931932449341,,
2026-05-08 16:00:00+00:00,2026-05-08 16:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6358579993247986,,
2026-05-08 16:15:00+00:00,2026-05-08 16:30:00+00:00,30.0,tp,ret,1,ret,0.6959767937660217,,
2026-05-11 07:00:00+00:00,2026-05-11 07:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.5044103860855103,,
2026-05-11 08:15:00+00:00,2026-05-11 08:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7090271711349487,,
2026-05-11 09:00:00+00:00,2026-05-11 09:15:00+00:00,-15.0,sl,ret,1,ret,0.6894080638885498,,
2026-05-11 09:45:00+00:00,2026-05-11 10:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7750577926635742,,
2026-05-11 10:15:00+00:00,2026-05-11 10:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7921963334083557,,
2026-05-11 10:30:00+00:00,2026-05-11 10:45:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.8022467494010925,,
2026-05-11 10:45:00+00:00,2026-05-11 11:00:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7262327075004578,,
2026-05-11 11:00:00+00:00,2026-05-11 11:45:00+00:00,30.0,tp,ret,1,ret,0.8166235089302063,,
2026-05-11 12:00:00+00:00,2026-05-11 12:15:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.7773908972740173,,
2026-05-11 12:30:00+00:00,2026-05-11 12:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6336047649383545,,
2026-05-11 14:00:00+00:00,2026-05-11 16:45:00+00:00,224.1999999999989,structure_change,wr90,1,wr90,0.7361634513175829,9446.6,9670.8
2026-05-12 07:15:00+00:00,2026-05-12 07:45:00+00:00,30.0,tp,ret,1,ret,0.7652974724769592,,
2026-05-12 08:45:00+00:00,2026-05-12 09:00:00+00:00,30.0,tp,ret,1,ret,0.6471000909805298,,
2026-05-12 09:45:00+00:00,2026-05-12 10:00:00+00:00,-15.0,sl,ret,1,ret,0.7609763741493225,,
2026-05-12 11:15:00+00:00,2026-05-12 12:00:00+00:00,30.0,tp,ret,1,ret,0.7916450500488281,,
2026-05-12 12:00:00+00:00,2026-05-12 12:15:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7508847117424011,,
2026-05-12 12:30:00+00:00,2026-05-12 12:45:00+00:00,-15.0,sl,ret,1,ret,0.6489823460578918,,
