entry,exit,pnl,reason,type,side
2026-04-22 14:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 14:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 14:37:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 14:39:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-22 17:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 17:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 19:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 19:05:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 19:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-22 19:38:00+00:00,,3.0,timeout,dip_long_15m,1
2026-04-23 14:31:00+00:00,,33.600000000000364,target_hit,dip_long_15m,1
2026-04-23 14:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 14:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 15:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 15:17:00+00:00,,45.899999999999636,target_hit,dip_long_15m,1
2026-04-23 16:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 16:46:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-23 18:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 18:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-23 18:20:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-23 19:31:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-24 13:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:05:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:09:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:32:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:37:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 14:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-24 16:16:00+00:00,,30.0,target_hit,dip_long_15m,1
