mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
B_wr30_recovery,480,0.35,0.1,3.4999999999999996,141277,23431,16.585148325629792,30.313629668973984,8.661037048278283,23431
D_wr30_bounce,480,0.2,0.2,1.0,63711,23360,36.665567955298144,17.39414972838443,17.39414972838443,23360
D_wr30_bounce,360,0.25,0.25,1.0,63711,23026,36.141325673745506,21.742687160480532,21.742687160480532,23026
B_wr30_recovery,240,0.35,0.15,2.3333333333333335,141277,22735,16.092499132909108,30.313629668973984,12.991555572417422,22735
C_wr90_mid_drop,480,0.2,0.2,1.0,62656,22658,36.162538304392235,17.437027189907525,17.437027189907525,22658
D_wr30_bounce,240,0.2,0.2,1.0,63711,22638,35.53232565804963,17.39414972838443,17.39414972838443,22638
C_wr90_mid_drop,360,0.25,0.25,1.0,62656,22597,36.06518130745659,21.7962839873844,21.7962839873844,22597
C_wr90_mid_drop,240,0.2,0.2,1.0,62656,22264,35.53370786516854,17.437027189907525,17.437027189907525,22264
B_wr30_recovery,360,0.35,0.1,3.4999999999999996,141277,22262,15.75769587406301,30.313629668973984,8.661037048278283,22262
B_wr30_recovery,120,0.25,0.12,2.0833333333333335,141277,22181,15.700361700772241,21.652592620695703,10.393244457933935,22181
B_wr30_recovery,240,0.4,0.25,1.6,141277,21785,15.420061298017371,34.64414819311313,21.652592620695703,21785
D_wr30_bounce,480,0.25,0.2,1.25,63711,21523,33.782235406758645,21.742687160480532,17.39414972838443,21523
D_wr30_bounce,480,0.3,0.25,1.2,63711,21401,33.5907457111017,26.091224592576637,21.742687160480532,21401
B_wr30_recovery,360,0.4,0.12,3.3333333333333335,141277,21284,15.065438818774465,34.64414819311313,10.393244457933935,21284
C_wr90_mid_drop,480,0.3,0.25,1.2,62656,21147,33.75095760980592,26.155540784861284,21.7962839873844,21147
D_wr30_bounce,360,0.25,0.2,1.25,63711,21062,33.05865549120246,21.742687160480532,17.39414972838443,21062
C_wr90_mid_drop,480,0.25,0.2,1.25,62656,20883,33.329609295199184,21.7962839873844,17.437027189907525,20883
B_wr30_recovery,240,0.35,0.12,2.9166666666666665,141277,20851,14.75894873192381,30.313629668973984,10.393244457933935,20851
B_wr30_recovery,480,0.4,0.1,4.0,141277,20825,14.740545170126772,34.64414819311313,8.661037048278283,20825
B_wr30_recovery,120,0.25,0.1,2.5,141277,20755,14.69099711913475,21.652592620695703,8.661037048278283,20755
C_wr90_mid_drop,360,0.25,0.2,1.25,62656,20595,32.869956588355464,21.7962839873844,17.437027189907525,20595
B_wr30_recovery,240,0.4,0.2,2.0,141277,20347,14.402202764781247,34.64414819311313,17.322074096556566,20347
D_wr30_bounce,360,0.2,0.15,1.3333333333333335,63711,20192,31.693114218894696,17.39414972838443,13.045612296288319,20192
D_wr30_bounce,240,0.2,0.15,1.3333333333333335,63711,20055,31.478080708197957,17.39414972838443,13.045612296288319,20055
C_wr90_mid_drop,360,0.2,0.15,1.3333333333333335,62656,19877,31.724016853932586,17.437027189907525,13.077770392430642,19877
C_wr90_mid_drop,240,0.2,0.15,1.3333333333333335,62656,19678,31.406409601634323,17.437027189907525,13.077770392430642,19678
D_wr30_bounce,360,0.3,0.25,1.2,63711,19603,30.768627081665645,26.091224592576637,21.742687160480532,19603
D_wr30_bounce,240,0.25,0.25,1.0,63711,19501,30.60852913939508,21.742687160480532,21.742687160480532,19501
D_wr30_bounce,480,0.3,0.2,1.4999999999999998,63711,19391,30.43587449576996,26.091224592576637,17.39414972838443,19390
C_wr90_mid_drop,360,0.3,0.25,1.2,62656,19208,30.656281920326865,26.155540784861284,21.7962839873844,19208
C_wr90_mid_drop,240,0.25,0.25,1.0,62656,19205,30.65149387129724,21.7962839873844,21.7962839873844,19205
B_wr30_recovery,240,0.35,0.1,3.4999999999999996,141277,19033,13.472115064730989,30.313629668973984,8.661037048278283,19033
D_wr30_bounce,480,0.2,0.15,1.3333333333333335,63711,18901,29.666776537803518,17.39414972838443,13.045612296288319,18901
C_wr90_mid_drop,480,0.3,0.2,1.4999999999999998,62656,18899,30.163112870275793,26.155540784861284,17.437027189907525,18899
B_wr30_recovery,360,0.4,0.1,4.0,141277,18884,13.36664849904797,34.64414819311313,8.661037048278283,18884
D_wr30_bounce,480,0.35,0.25,1.4,63711,18748,29.42662962439767,30.439762024672746,21.742687160480532,18748
B_wr30_recovery,120,0.3,0.25,1.2,141277,18715,13.247025347367227,25.983111144834844,21.652592620695703,18714
C_wr90_mid_drop,480,0.35,0.25,1.4,62656,18696,29.8391215526047,30.514797582338165,21.7962839873844,18696
